ICAO code	IATA code	航空会社名	Airline name	Country
AAL	AA	アメリカン航空	American Airlines	USA
AAR	OZ	アシアナ航空	Asiana Airlines	Korea
AAY	G4	アレジアント航空	Allegiant Air	USA
ABL	BX	エアプサン	Air Busan	Korea
ABW	RU	エアブリッジカーゴ	AirBridgeCargo Airlines	Russia
ACA	AC	エア・カナダ	Air Canada	Canada
ACI	SB	エア・カラン	Aircalin	New Caledonia, France
ADO	HD	エア・ドゥ	AIR DO	Japan
AEA	UX	エア・ヨーロッパ	Air Europa	Spain
AEE	A3	エーゲ航空	Aegean Airlines	Greece
AFL	SU	アエロフロート	Aeroflot	Russia
AFR	AF	エールフランス航空	Air France	France
AHK	LD	エアホンコン	Air Hong Kong	Hong Kong, China
AIC	AI	エア インディア	Air India Limited	India
AIH	KJ	エアインチョン	Air Incheon	Korea
AIZ	IZ	アルキア航空	Arkia Israeli Airlines	Israel
AJX	NQ	エアージャパン	Air Japan	Japan
ALK	UL	スリランカ航空	SriLankan Airlines	Sri Lanka
AMU	NX	マカオ航空	Air Macau	Macau, China
AMX	AM	アエロメヒコ航空	Aeromexico	Mexico
ANA	NH	全日本空輸	All Nippon Airways	Japan
ANZ	NZ	ニュージーランド航空	Air New Zealand	New Zealand
APG	Z2	フィリピンエアアジア	AirAsia Philippines	Philippines
APJ	MM	ピーチ・アビエーション	Peach Aviation	Japan
APZ	YP	エアプレミア	Air Premia	Korea
ARG	AR	アルゼンチン航空	Aerolíneas Argentinas	Argentina
ARJ		エアジェット・コスタリカ	Aerojet de Costa Rica, S.A.	Costa Rica
ASA	AS	アラスカ航空	Alaska Airlines	USA
ASL	JU	エア・セルビア	Air Serbia	Serbia
ASV	RS	エアソウル	Air Seoul	Korea
AUA	OS	オーストリア航空	Austrian Airlines	Austria
AVA	AV	アビアンカ航空	Avianca	Colombia
AZG	7L	シルクウェイウエスト航空	Silk Way West Airlines	Azerbaijan
AZU	AD	アズールブラジル航空	Azul Brazilian Airlines	Brasil
BAV	QH	バンブー・エアウェイズ	Bamboo Airways	Vietnam
BAW	BA	ブリティッシュ・エアウェイズ	British Airways	UK
BEL	SN	ブリュッセル航空	Brussels Airlines	Belgium
BOX	3S	アエロロジック	Aerologic	Germany
CAL	CI	チャイナエアライン	China Airlines	Taiwan, China
