ICAO code	種別	条件	W(cm)	H(cm)	D(cm)	Length(cm)	Weight(kg)
ANA	国内	100席以上	55	40	25	115	10
ANA	国内	100席未満	45	35	20	110	10
ANA	国際	-	55	40	25	115	10
JAL	国内	100席以上	55	40	25	115	10
JAL	国内	100席未満	45	35	20	110	10
JAL	国際	-	55	40	25	115	10
APJ	-	-	55	40	25	115	7
JJP	-	-	56	36	23	N/A	7
SNJ	-	-	55	40	25	115	10
SKY	-	-	55	40	25	115	10
TZP	-	-	55	40	25	N/A	7
ADO	-	-	55	40	25	115	10
SFJ	国内	-	55	40	25	115	10
SFJ	国際	-	55	40	25	115	10
SJO	国内	-	56	36	23	115	7
SJO	国際	-	56	36	23	115	7
CQH	-	-	40	30	20	N/A	7
AEE	-	-	56	45	25	126	8
EIN	-	-	56	40	23	119	10
AFL	-	-	55	40	25	120	10
ARG	-	-	55	35	25	115	8
AMX	-	-	55	40	25	120	10
ACA	-	-	55	40	23	118	N/A
FWI	-	-	55	35	25	115	12
CCA	-	-	55	40	20	115	5
AEA	-	-	55	35	25	115	10
AFR	-	-	55	35	25	115	12
AIC	-	-	55	40	20	115	7
ANZ	-	-	N/A	N/A	N/A	118	7
ASL	-	-	55	40	23	118	8
TSC	-	-	55	40	23	118	N/A
ASA	-	-	56	36	23	115	N/A
AAY	-	-	56	36	23	115	N/A
AAL	-	-	56	36	23	115	N/A
AIZ	-	-	56	45	25	126	8
AAR	-	-	55	40	20	115	10
AUA	-	-	55	40	23	118	8
AVA	-	-	55	35	25	115	10
AZU	-	-	55	35	25	115	10
BAV	-	-	56	36	23	115	7
BAW	-	-	56	45	25	126	23
BEL	-	-	55	40	23	118	8
CPA	-	-	56	36	23	115	7
CEB	-	-	56	36	23	115	7
CAL	-	-	56	36	23	115	7
CES	-	-	55	40	20	115	8
CSN	-	-	55	40	20	115	8
CFG	-	-	55	40	20	115	8
CMP	-	-	56	36	26	118	10
CRL	-	-	55	40	20	115	12
CTN	-	-	55	40	23	115	8
DAL	-	-	56	35	23	114	N/A
EZY	-	-	56	45	25	126	15
EDW	-	-	55	40	23	118	8
MSR	-	-	55	40	23	118	8
UAE	-	-	55	38	22	115	7
ETH	-	-	55	40	23	118	7
ETD	-	-	56	36	23	115	7
EWG	-	-	55	40	23	118	8
EVA	-	-	56	36	23	115	7
FJI	-	-	55	40	23	118	7
FIN	-	-	55	40	23	118	8
FDB	-	-	55	38	20	113	7
GIA	-	-	56	36	23	115	7
GLO	-	-	55	35	25	115	10
HAL	-	-	55	40	20	115	7
HOP	-	-	55	35	25	115	7
IBE	-	-	56	40	25	121	10
ICE	-	-	55	40	20	115	10
ELY	-	-	56	45	25	N/A	8
ITY	-	-	55	35	25	115	8
EXS	-	-	56	45	25	N/A	10
KLM	-	-	56	36	23	115	N/A
KAL	-	-	55	35	25	115	12
LOT	-	-	55	35	25	115	10
DLH	-	-	55	40	23	118	8
MAS	-	-	55	40	23	118	8
MEA	-	-	56	36	23	115	7
NAX	-	-	56	40	23	N/A	10
OAL	-	-	55	40	23	118	10
OMA	-	-	N/A	N/A	N/A	115	7
PAL	-	-	55	40	23	118	10
POE	-	-	56	36	23	115	7
QFA	-	-	55	40	23	118	N/A
QTR	-	-	56	36	23	115	10
RAM	-	-	50	37	25	112	7
RYR	-	-	55	40	25	120	10
SVA	-	-	55	40	20	115	10
SAS	-	-	56	45	25	126	7
SIA	-	-	N/A	N/A	N/A	115	7
CSZ	-	-	55	40	23	118	8
SAA	-	-	55	40	20	115	5
SWA	-	-	56	36	23	115	8
SWR	-	-	55	40	23	N/A	8
TAE	-	-	55	40	23	118	8
TAP	-	-	55	35	25	115	8
THA	-	-	55	40	25	120	10
TRA	-	-	56	45	25	126	7
THY	-	-	55	40	20	115	10
UAL	-	-	55	40	23	118	8
HVN	-	-	55	35	23	114	N/A
VIR	-	-	56	36	23	115	12
VLG	-	-	56	36	23	115	10
WZZ	-	-	55	40	20	115	10
